,model,columns,best_params,training_time,accuracy,precision,recall,f1,roc_auc,mean_fit_time,predict_time
130,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.05970501899719238,0.6778,0.4902,0.56,0.523,0.697,0.008,0.001
131,DecisionTreeClassifier,"['guests_per_night', 'has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7324550151824951,0.7058,0.5576,0.321,0.408,0.715,0.012,0.002
132,RandomForestClassifier,"['guests_per_night', 'has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",147.65720295906067,0.7058,0.5576,0.321,0.408,0.715,1.565,0.117
133,GaussianNB,"['lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.14292097091674805,0.7465,0.6239,0.492,0.55,0.746,0.024,0.003
134,KNeighborsClassifier,"['lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 9},5.398436069488525,0.7693,0.6782,0.51,0.582,0.781,0.017,0.136
135,LogisticRegression,"['lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 1, 'max_iter': 100}",0.5450968742370605,0.7546,0.6704,0.435,0.528,0.761,0.012,0.001
136,LinearDiscriminantAnalysis,"['lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06452083587646484,0.7547,0.6685,0.44,0.53,0.761,0.016,0.001
137,QuadraticDiscriminantAnalysis,"['lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.05889630317687988,0.7478,0.6341,0.472,0.541,0.749,0.008,0.001
138,DecisionTreeClassifier,"['lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8875629901885986,0.7846,0.7491,0.476,0.582,0.806,0.019,0.002
139,RandomForestClassifier,"['lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",240.8823380470276,0.7849,0.7391,0.49,0.59,0.807,2.728,0.113
140,GaussianNB,"['guests_per_night', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.1306319236755371,0.7429,0.6159,0.489,0.545,0.741,0.014,0.002
141,KNeighborsClassifier,"['guests_per_night', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 7},5.4527428150177,0.7837,0.6976,0.554,0.617,0.803,0.017,0.14
142,LogisticRegression,"['guests_per_night', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 1, 'max_iter': 100}",0.6125953197479248,0.7541,0.6747,0.424,0.521,0.762,0.015,0.002
